	N=9	N=8	N=7	N=6	N=5	N=4	N=3	N=2	N=1
Thita0	-0.016975629614375813	-0.00971887098237	-0.000674416039893	0.0191968367546	0.0503012329238	0.0914954972905	0.127471470973	0.114655853267	0.207608134946
Thita1	1.7964950344462074	1.76571490606	1.73587418374	1.61692652365	1.37026070356	0.932971373509	0.308579378248	-0.000499768846273	-0.84338074698
Thita2	-2.1228784972784025	-2.2752432523	-2.47066434672	-2.74567533143	-3.03022444544	-3.11880429688	-2.48444878079	-0.855394429	 
Thita3	-1.941667369339569	-2.00139766176	-2.0464785264	-2.0170588527	-1.73351675448	-0.810150393782	1.39590327524	 	 
Thita4	-1.084977037741878	-1.00969296923	-0.847780051583	-0.45038336495	0.449404139552	2.36353336814	 	 	 
Thita5	-0.2746321029774519	-0.0693326167973	0.287584668548	1.01820719558	2.45497037913	 	 	 	 
Thita6	0.36222881287747744	0.681045306783	1.20573453787	2.21675578065	 	 	 	 	 
Thita7	0.8320466039969838	1.24680709797	1.9116835882	 	 	 	 	 	 
Thita8	1.1665615484201703	1.66149515252	 	 	 	 	 	 	 
Thita9	1.3972049759088565	 	 	 	 	 	 	 	 
