	N=9	N=8	N=7	N=6	N=5	N=4	N=3	N=2	N=1
Thita0	0.01961469647142307	0.0286079352499	0.0412588829265	0.0586651102171	0.0809665480325	0.104205519113	0.113513127158	0.0864307247105	0.283968739208
Thita1	1.7748809984111844	1.71400255683	1.61743520999	1.4615622392	1.21328304892	0.85152015367	0.474019445518	0.55057582574	-1.23965269384
Thita2	-2.9818255988333213	-3.07190551663	-3.17399111568	-3.26624330626	-3.28438355279	-3.07946646069	-2.45105122302	-2.0978231239	 
Thita3	-2.419914874472577	-2.37931531657	-2.28626317883	-2.08222361905	-1.65304596853	-0.815059752736	0.516900554027	 	 
Thita4	-1.0550351857429006	-0.888049692053	-0.616269747178	-0.159811995485	0.615546139591	1.88288372416	 	 	 
Thita5	0.104493553436499	0.360349488233	0.754298932925	1.37616442872	2.36421045385	 	 	 	 
Thita6	0.905041852346524	1.21343983903	1.67741422104	2.38939520298	 	 	 	 	 
Thita7	1.396145748865144	1.72929316057	2.22421228247	 	 	 	 	 	 
Thita8	1.659986921990493	1.99854121356	 	 	 	 	 	 	 
Thita9	1.7684558696355177	 	 	 	 	 	 	 	 
