	N=9	N=8	N=7	N=6	N=5	N=4	N=3	N=2	N=1
Thita0	0.6402376678198154	0.651480075536	0.672179097024	0.704077766331	0.750315100538	0.811128363458	0.869520499217	0.861814312658	0.864402938793
Thita1	0.6956286169323509	0.691578666834	0.626621756505	0.469312343713	0.164174873753	-0.3705907591	-1.15153812854	-1.72058383643	-1.73146410377
Thita2	-2.520305751578876	-2.67054208761	-2.85844124457	-3.06388970561	-3.22815645661	-3.15664914069	-2.33367018698	-0.00843933001153	 
Thita3	-2.0297688183667417	-2.10978696596	-2.13459026935	-2.02603878072	-1.61891850502	-0.539497527151	1.91306468081	 	 
Thita4	-0.9050875393100312	-0.849260543426	-0.648629576427	-0.181081908544	0.795633857152	2.75997231191	 	 	 
Thita5	0.03797433382511298	0.23514571221	0.647003072167	1.42552769291	2.86519332425	 	 	 	 
Thita6	0.6838040806216774	1.00797689782	1.59715388587	2.62252735301	 	 	 	 	 
Thita7	1.081966444447269	1.51393162375	2.24548104389	 	 	 	 	 	 
Thita8	1.302912430368084	1.82393704356	 	 	 	 	 	 	 
Thita9	1.4046366281759244	 	 	 	 	 	 	 	 
